"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H2,H1,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
2;"R5,R6";"0402R";2;"2k2";;;
3;"D1";"0402LED";1;"red";;;
4;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
5;"R4";"0603R";1;"2k49";;;
6;"D2";"0402LED";1;"purple";;;
7;"K7";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
8;"C2,C1";"0603C";2;"2.2uF";;;
9;"JP2";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
10;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
11;"U1";"TP4056M-MSOP8";1;"TP4056M";;;
12;"R3";"0603R";1;"4.7k";;;
13;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
14;"R1,R2";"0603R";2;"5.1k";;;
15;"K4,K2,K3,K6,K5";"HEADER_MALE_1X1";5;"HEADER_MALE_1X1";;;
